Code,Product label,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023,Exported value in 2024
'6907,"Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether ...",52589,63154,80687,83886,74983,72270,85584,83580,106218,104081,84246,87371,289172,312945,263751,247550,293533,325103,308187,278188
'6912,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",114703,113184,135878,152387,120606,118709,133461,125295,148623,167195,156803,172060,179625,226133,200084,217851,283819,298163,264546,266324
'6910,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",145740,175053,200303,179924,152774,141651,130209,136442,144479,161680,152561,167286,175162,187967,154501,131915,175616,172095,167284,162260
'6913,"Statuettes and other ornamental ceramic articles, n.e.s.",96805,82644,93530,76873,50087,53460,56223,52425,51574,56654,48774,52033,52501,67256,62379,70360,92319,97245,84026,85515
'6911,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china ...",49693,56133,56428,54999,49023,50341,54855,45056,55075,62140,51129,54156,60820,76870,61426,45245,57496,59322,62921,57812
'6914,"Ceramic articles, n.e.s.",11886,13453,15624,14903,12028,12844,11111,8803,10442,12683,14131,17318,18186,20081,19299,20746,30787,30018,36962,37818
'6905,"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ...",7125,11465,17419,16658,12655,18466,22264,23014,26144,31793,23766,23197,20650,23610,17025,13881,16311,19103,18284,13939
'6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excl. ...",4033,6530,7683,5642,9245,5158,11799,18679,10432,13468,13188,12995,7006,15647,11546,6092,7269,9056,12288,11995
'6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like (excl. those ...",2388,4549,7788,5291,4768,2710,2889,5773,5901,5770,4806,4515,1743,1725,1581,1239,3383,4091,3283,2527
'6903,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods, ...",1530,664,2276,3328,1576,1347,2999,1642,6627,1249,1287,305,526,587,209,59,748,459,859,1448
'6909,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar ...",31,37,26,112,109,115,110,243,51,37,41,30,145,130,185,202,302,475,470,792
'6906,"Ceramic pipes, conduits, guttering and pipe fittings (excluding of siliceous fossil meals or ...",244,41,66,32,44,6,4,20,12,51,4,15,87,42,17,1,59,74,46,253
'6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ...",41,152,447,189,26,55,136,107,245,69,35,37,37,202,360,336,141,66,357,115
'6908,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the ...",195573,224604,265197,301736,246704,248370,266729,244495,230545,223314,181001,185821,0,0,0,0,0,0,0,0
