Code,Product label,Value imported in 2024 (USD thousand),Trade balance 2024 (USD thousand),"Annual growth in value between 2020-2024 (%, p.a.)","Annual growth in quantity between 2020-2024 (%, p.a.)","Annual growth in value between 2023-2024 (%, p.a.)","Annual growth of world exports between 2020-2024 (%, p.a.)",Average distance of supplying countries (km),Concentration of supplying countries
'TOTAL,All products,24116680617,-331294703,7,,2,7,5306,0.05
'6907,"Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether ...",18389989,516516,2,,-4,2,4339,0.14
'6910,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",7409928,1671593,1,,2,-9,5360,0.21
'6909,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar ...",6906556,593398,5,,-1,6,5849,0.11
'6911,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china ...",4637536,4189320,6,,3,4,5891,0.33
'6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excl. ...",4533471,-263279,6,,-7,6,5248,0.2
'6912,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",3984003,-1629823,4,,7,3,7633,0.44
'6903,"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods, ...",2497838,-203627,5,,-1,5,4697,0.1
'6914,"Ceramic articles, n.e.s.",2080771,294683,4,,10,-5,4554,0.11
'6913,"Statuettes and other ornamental ceramic articles, n.e.s.",1845124,531734,1,,8,-3,7720,0.39
'6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like (excl. those ...",1464003,504636,6,,-6,5,3076,0.13
'6905,"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ...",693871,34939,-1,,-3,-1,1646,0.09
'6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ...",262490,-143110,5,,22,-10,4718,0.09
'6906,"Ceramic pipes, conduits, guttering and pipe fittings (excluding of siliceous fossil meals or ...",121790,-22799,0,,-7,0,2898,0.15
